Id	Description	Qty	Unit	Designators
1	Cable, 2 x 0.25 mm², BK	2.3	m	W1, W2
2	Cable, 4 x 0.25 mm², BK	0.75	m	W4
3	Cable, 6 x 0.25 mm², BK	2.3	m	W3
4	Connector, JST-XH-02, male, 2 pins	2		X1_I, X2_I
5	Connector, JST-XH-04, male, 4 pins	1		X4_I
6	Connector, JST-XH-06, male, 6 pins	1		X3_I
7	Connector, SP13 2-Pin, female, 2 pins	2		X1_F, X2_F
8	Connector, SP13 2-Pin, male, 2 pins	2		X1_M, X2_M
9	Connector, SP13 4-Pin, female, 4 pins	1		X4_F
10	Connector, SP13 4-Pin, male, 4 pins	1		X4_M
11	Connector, SP13 6-Pin, female, 6 pins	1		X3_F
12	Connector, SP13 6-Pin, male, 6 pins	1		X3_M
13	Wire, 0.25 mm², BK	0.6	m	W1_I, W2_I, W3_I, W4_I
14	Wire, 0.25 mm², BU	0.15	m	W3_I
15	Wire, 0.25 mm², GN	0.3	m	W3_I, W4_I
16	Wire, 0.25 mm², RD	0.6	m	W1_I, W2_I, W3_I, W4_I
17	Wire, 0.25 mm², WH	0.15	m	W3_I
18	Wire, 0.25 mm², YE	0.3	m	W3_I, W4_I
